Data Set (Source)	Data Set (Sink)	Linker	Distance Method	Distance Threshold	Time taken	Memory used	Setup comparisons	Total comparisons	Number of links	Number of matches	True Positives	False Positives	False Negatives	Min links quality	Max links quality	Average links quality	Min pairs quality	Max pairs quality	Average pairs quality	Min pairs completeness	Max pairs completeness	Average pairs completeness	Precision	Recall	F1 Measure	Shingle size	Number of bands	Band size	Blocking Method	Branching factor
Cora	Cora	LSH	Generic-Sigma-Levenshtein	207.00	59949	516499640	0	513947	196790	18479	16646	180144	1833	0.00	1.00	0.79	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	208.00	60101	516043080	0	513947	198222	18479	16650	181572	1829	0.00	1.00	0.79	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	209.00	61661	524786984	0	513947	199542	18479	16656	182886	1823	0.00	1.00	0.80	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	210.00	59556	539181544	0	513947	200778	18479	16660	184118	1819	0.00	1.00	0.80	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	211.00	60716	539617648	0	513947	202110	18479	16664	185446	1815	0.00	1.00	0.81	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	212.00	60431	541554064	0	513947	203461	18479	16676	186785	1803	0.00	1.00	0.81	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	213.00	59868	518367328	0	513947	204709	18479	16686	188023	1793	0.00	1.00	0.82	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	214.00	61552	536836992	0	513947	205907	18479	16697	189210	1782	0.00	1.00	0.82	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	215.00	60317	537233264	0	513947	207083	18479	16702	190381	1777	0.00	1.00	0.83	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	216.00	60260	535477016	0	513947	208161	18479	16708	191453	1771	0.00	1.00	0.83	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	217.00	59798	521340312	0	513947	209316	18479	16721	192595	1758	0.00	1.00	0.83	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.90	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	218.00	59504	529721488	0	513947	210437	18479	16726	193711	1753	0.00	1.00	0.84	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	219.00	61343	545826552	0	513947	211603	18479	16734	194869	1745	0.00	1.00	0.84	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.15	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	220.00	60332	555942560	0	513947	212747	18479	16741	196006	1738	0.00	1.00	0.85	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	221.00	59721	548536544	0	513947	213732	18479	16749	196983	1730	0.00	1.00	0.85	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	222.00	59310	562183832	0	513947	214737	18479	16753	197984	1726	0.00	1.00	0.85	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	223.00	60075	549353176	0	513947	215789	18479	16757	199032	1722	0.00	1.00	0.86	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	224.00	61989	547539488	0	513947	216856	18479	16768	200088	1711	0.00	1.00	0.86	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	225.00	59365	550011480	0	513947	217762	18479	16777	200985	1702	0.00	1.00	0.86	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	226.00	60050	534788360	0	513947	218635	18479	16783	201852	1696	0.00	1.00	0.87	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	227.00	59676	563755800	0	513947	219519	18479	16791	202728	1688	0.00	1.00	0.87	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	228.00	60372	557985928	0	513947	220402	18479	16801	203601	1678	0.00	1.00	0.87	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	229.00	60854	568033712	0	513947	221258	18479	16813	204445	1666	0.00	1.00	0.88	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	230.00	61216	558556008	0	513947	222086	18479	16823	205263	1656	0.00	1.00	0.88	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	231.00	59073	569217952	0	513947	222857	18479	16832	206025	1647	0.00	1.00	0.88	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	232.00	59494	574402160	0	513947	223622	18479	16837	206785	1642	0.01	1.00	0.88	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	233.00	60603	569122296	0	513947	224375	18479	16843	207532	1636	0.01	1.00	0.89	0.00	0.78	0.07	0.02	0.33	0.32	0.08	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	234.00	59359	561732616	0	513947	225135	18479	16848	208287	1631	0.01	1.00	0.89	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	235.00	60297	558344656	0	513947	225918	18479	16851	209067	1628	0.01	1.00	0.89	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	236.00	59992	560224448	0	513947	226682	18479	16854	209828	1625	0.01	1.00	0.89	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	237.00	60983	561820248	0	513947	227359	18479	16865	210494	1614	0.01	1.00	0.90	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	238.00	60178	563713064	0	513947	228050	18479	16871	211179	1608	0.01	1.00	0.90	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	239.00	59368	1067381320	0	513947	228678	18479	16873	211805	1606	0.01	1.00	0.90	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	240.00	60856	564238208	0	513947	229310	18479	16877	212433	1602	0.01	1.00	0.90	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	241.00	62431	584230128	0	513947	229979	18479	16878	213101	1601	0.01	1.00	0.91	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	242.00	60508	577779528	0	513947	230597	18479	16881	213716	1598	0.01	1.00	0.91	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	243.00	59173	578447360	0	513947	231218	18479	16885	214333	1594	0.01	1.00	0.91	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.14	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	244.00	58371	1076859032	0	513947	231863	18479	16893	214970	1586	0.01	1.00	0.91	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.13	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	245.00	57984	578464752	0	513947	232517	18479	16902	215615	1577	0.01	1.00	0.91	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.13	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	246.00	55193	572505816	0	513947	233102	18479	16905	216197	1574	0.01	1.00	0.92	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.91	0.13	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	247.00	51495	572676120	0	513947	233711	18479	16920	216791	1559	0.01	1.00	0.92	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.92	0.13	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	248.00	49276	575080312	0	513947	234293	18479	16932	217361	1547	0.01	1.00	0.92	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.92	0.13	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	249.00	47728	1084742376	0	513947	234780	18479	16939	217841	1540	0.01	1.00	0.92	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.92	0.13	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	250.00	47926	1077775936	0	513947	235359	18479	16949	218410	1530	0.01	1.00	0.92	0.00	0.78	0.07	0.02	0.33	0.32	0.07	0.92	0.13	2	10	2	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	0.00	4997	312584680	0	14329	1670	18479	1668	2	16811	0.02	1.00	0.31	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.09	0.17	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	1.00	4970	316026216	0	14329	1799	18479	1796	3	16683	0.02	1.00	0.32	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.10	0.18	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	2.00	4544	321414944	0	14329	1864	18479	1857	7	16622	0.02	1.00	0.33	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.10	0.18	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	3.00	4691	301684184	0	14329	1940	18479	1933	7	16546	0.02	1.00	0.34	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.10	0.19	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	4.00	4923	298223680	0	14329	2006	18479	1999	7	16480	0.02	1.00	0.35	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.11	0.20	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	5.00	2929	316020816	0	14329	2100	18479	2093	7	16386	0.02	1.00	0.36	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.11	0.20	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	6.00	3523	301681744	0	14329	2220	18479	2212	8	16267	0.02	1.00	0.37	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.12	0.21	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	7.00	3700	314374880	0	14329	2281	18479	2272	9	16207	0.02	1.00	0.38	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.12	0.22	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	8.00	2760	319789872	0	14329	2334	18479	2325	9	16154	0.02	1.00	0.39	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.13	0.22	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	9.00	2888	321374904	0	14329	2403	18479	2394	9	16085	0.02	1.00	0.40	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.13	0.23	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	10.00	3205	319762008	0	14329	2472	18479	2463	9	16016	0.02	1.00	0.40	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.13	0.24	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	11.00	2853	305128696	0	14329	2534	18479	2525	9	15954	0.02	1.00	0.41	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.14	0.24	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	12.00	2690	305449632	0	14329	2584	18479	2575	9	15904	0.02	1.00	0.42	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.14	0.24	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	13.00	2941	305459376	0	14329	2637	18479	2628	9	15851	0.02	1.00	0.42	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.14	0.25	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	14.00	2726	310647344	0	14329	2694	18479	2685	9	15794	0.02	1.00	0.43	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.15	0.25	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	15.00	2713	305124840	0	14329	2761	18479	2752	9	15727	0.02	1.00	0.44	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.15	0.26	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	16.00	2761	316026240	0	14329	2829	18479	2820	9	15659	0.02	1.00	0.45	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.15	0.26	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	17.00	2742	310628272	0	14329	2878	18479	2869	9	15610	0.02	1.00	0.46	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.16	0.27	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	18.00	2783	301676296	0	14329	2941	18479	2932	9	15547	0.02	1.00	0.46	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.16	0.27	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	19.00	2845	305091264	0	14329	3048	18479	3039	9	15440	0.02	1.00	0.47	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.16	0.28	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	20.00	2709	300077016	0	14329	3132	18479	3123	9	15356	0.02	1.00	0.48	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.17	0.29	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	21.00	2711	301652936	0	14329	3198	18479	3189	9	15290	0.02	1.00	0.49	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.17	0.29	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	22.00	2752	301679792	0	14329	3246	18479	3237	9	15242	0.02	1.00	0.50	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.18	0.30	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	23.00	2802	314392368	0	14329	3320	18479	3310	10	15169	0.02	1.00	0.51	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.18	0.30	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	24.00	2900	316011960	0	14329	3380	18479	3370	10	15109	0.02	1.00	0.51	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.18	0.31	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	25.00	2831	296287384	0	14329	3432	18479	3422	10	15057	0.02	1.00	0.52	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.19	0.31	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	26.00	2702	305451032	0	14329	3504	18479	3494	10	14985	0.02	1.00	0.53	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.19	0.32	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	27.00	2600	290356168	0	14329	3555	18479	3545	10	14934	0.02	1.00	0.53	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.19	0.32	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	28.00	2849	319788376	0	14329	3609	18479	3598	11	14881	0.02	1.00	0.54	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.19	0.33	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	29.00	2771	301683280	0	14329	3654	18479	3639	15	14840	0.02	1.00	0.54	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.20	0.33	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	30.00	2672	305122848	0	14329	3715	18479	3700	15	14779	0.02	1.00	0.55	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.20	0.33	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	31.00	2876	290371656	0	14329	3761	18479	3746	15	14733	0.02	1.00	0.55	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.20	0.34	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	32.00	2797	305124440	0	14329	3801	18479	3784	17	14695	0.02	1.00	0.56	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.20	0.34	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	33.00	2621	301702576	0	14329	3857	18479	3840	17	14639	0.02	1.00	0.56	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.21	0.34	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	34.00	2832	310657232	0	14329	3904	18479	3886	18	14593	0.02	1.00	0.57	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.21	0.35	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	35.00	2787	319797280	0	14329	3960	18479	3942	18	14537	0.02	1.00	0.58	0.03	1.00	0.80	0.01	0.33	0.14	1.00	0.21	0.35	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	36.00	2727	300039944	0	14329	4012	18479	3990	22	14489	0.02	1.00	0.58	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.22	0.35	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	37.00	2735	315996016	0	14329	4060	18479	4038	22	14441	0.02	1.00	0.59	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.22	0.36	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	38.00	2758	301686360	0	14329	4112	18479	4089	23	14390	0.02	1.00	0.59	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.22	0.36	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	39.00	2794	315995400	0	14329	4168	18479	4144	24	14335	0.02	1.00	0.60	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.22	0.37	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	40.00	2781	319757296	0	14329	4208	18479	4183	25	14296	0.02	1.00	0.60	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.23	0.37	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	41.00	2676	300095704	0	14329	4256	18479	4230	26	14249	0.02	1.00	0.61	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.23	0.37	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	42.00	2672	307064888	0	14329	4287	18479	4261	26	14218	0.02	1.00	0.61	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.23	0.37	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	43.00	2864	301699264	0	14329	4314	18479	4288	26	14191	0.02	1.00	0.62	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.23	0.38	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	44.00	2738	316005736	0	14329	4357	18479	4331	26	14148	0.02	1.00	0.62	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.23	0.38	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	45.00	2779	316032496	0	14329	4385	18479	4357	28	14122	0.02	1.00	0.62	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.24	0.38	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	46.00	2731	296345064	0	14329	4409	18479	4381	28	14098	0.02	1.00	0.63	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.24	0.38	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	47.00	2850	315995792	0	14329	4433	18479	4405	28	14074	0.03	1.00	0.63	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.24	0.38	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	48.00	2790	305105664	0	14329	4475	18479	4447	28	14032	0.03	1.00	0.63	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.24	0.39	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	49.00	2862	305115968	0	14329	4514	18479	4486	28	13993	0.03	1.00	0.64	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.24	0.39	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	50.00	2671	305452768	0	14329	4561	18479	4528	33	13951	0.03	1.00	0.64	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.25	0.39	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	51.00	2797	287145760	0	14329	4606	18479	4568	38	13911	0.03	1.00	0.65	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.25	0.40	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	52.00	2631	319762080	0	14329	4645	18479	4605	40	13874	0.03	1.00	0.65	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.25	0.40	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	53.00	2876	292507928	0	14329	4688	18479	4648	40	13831	0.03	1.00	0.66	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.25	0.40	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	54.00	2742	319821840	0	14329	4726	18479	4684	42	13795	0.03	1.00	0.67	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.25	0.40	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	55.00	2721	319745808	0	14329	4763	18479	4716	47	13763	0.03	1.00	0.67	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.26	0.41	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	56.00	2782	310654472	0	14329	4793	18479	4746	47	13733	0.03	1.00	0.67	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.26	0.41	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	57.00	2782	321365808	0	14329	4846	18479	4796	50	13683	0.03	1.00	0.68	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.26	0.41	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	58.00	2608	305416584	0	14329	4874	18479	4824	50	13655	0.03	1.00	0.69	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.26	0.41	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	59.00	2605	314396912	0	14329	4887	18479	4835	52	13644	0.03	1.00	0.69	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.26	0.41	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	60.00	2791	326785064	0	14329	4909	18479	4856	53	13623	0.03	1.00	0.69	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.26	0.42	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	61.00	2735	287135384	0	14329	4926	18479	4873	53	13606	0.03	1.00	0.69	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.26	0.42	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	62.00	2697	305408624	0	14329	4956	18479	4902	54	13577	0.03	1.00	0.70	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.27	0.42	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	63.00	2732	315997808	0	14329	4983	18479	4929	54	13550	0.03	1.00	0.70	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.27	0.42	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	64.00	2795	319757112	0	14329	5007	18479	4953	54	13526	0.03	1.00	0.70	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.27	0.42	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	65.00	2751	310640264	0	14329	5030	18479	4975	55	13504	0.03	1.00	0.71	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.27	0.42	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	66.00	2593	301698072	0	14329	5050	18479	4995	55	13484	0.03	1.00	0.71	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.27	0.42	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	67.00	2846	301680720	0	14329	5087	18479	5032	55	13447	0.03	1.00	0.71	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.27	0.43	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	68.00	2810	319753288	0	14329	5102	18479	5047	55	13432	0.03	1.00	0.71	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.27	0.43	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	69.00	2754	305452056	0	14329	5136	18479	5081	55	13398	0.03	1.00	0.72	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.27	0.43	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	70.00	2678	316032192	0	14329	5161	18479	5106	55	13373	0.03	1.00	0.72	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.28	0.43	2	2	5	NA	NA
Cora	Cora	LSH	Generic-Sigma-Levenshtein	71.00	2793	301694688	0	14329	5182	18479	5127	55	13352	0.03	1.00	0.72	0.03	1.00	0.80	0.01	0.33	0.14	0.99	0.28	0.43	2	2	5	NA	NA
